stationId,stationName,x,y,amsl,type
C0AI40,石牌,301816.1578,2778762.498,3,CWB_A
C0A9A0,大直,304761.4227,2774532.219,3,CWB_A
C0A980,社子,297367.7921,2777989.382,3,CWB_A
C0A9F0,內湖,308049.155,2774698.125,3,CWB_A
C0AH70,松山,305538.8063,2771285.864,3,CWB_A
C0A9C0,天母,304170.7104,2778899.355,3,CWB_A
C0AC80,文山,308113.489,2766161.26,3,CWB_A
C0AC70,信義,306973.576,2770085.636,3,CWB_A
C0A9E0,士林,300738.043,2775868.632,3,CWB_A
466920,臺北,301953.86,2770047.433,19,CWB_M
11,士林,301914.1115,2777606.8,22,EPA
12,中山,303042.5777,2772745.21,20,EPA
13,萬華,301349.8466,2771055.886,20,EPA
14,古亭,303366.3931,2768161.499,20,EPA
15,松山,308288.9042,2771444.348,20,EPA
16,大同,301789.4442,2772996.812,6,EPA
313602,西松國小,306782.0464,2771802.602,14,SCHOOL
313608,三民國小,306943.7674,2772920.704,16,SCHOOL
323606,吳興國小,307330.5038,2768783.147,16,SCHOOL
323607,福德國小,309189.564,2770171.242,16,SCHOOL
333606,金華國小,303344.4569,2769450.441,10,SCHOOL
333609,公館國小,304801.4708,2767245.295,16,SCHOOL
333610,新生國小,303811.6462,2769209.693,16,SCHOOL
343603,長安國小,303564.1429,2771332.128,16,SCHOOL
343607,五常國小,304711.9418,2772964.963,20,SCHOOL
343610,永安國小,305431.9486,2774643.456,16,SCHOOL
353602,河堤國小,302716.5952,2768443.349,16,SCHOOL
353603,忠義國小,301056.5316,2769212.414,17,SCHOOL
353604,國語實小,301483.1043,2769269.509,16,SCHOOL
353607,忠孝國小,303659.5629,2770673.437,16,SCHOOL
353608,市大附小,302053.3406,2769814.315,16,SCHOOL
363502,忠孝國中,301261.8803,2771503.84,11,SCHOOL
363601,蓬萊國小,302044.5551,2772119.343,16,SCHOOL
363606,大同國小,302093.554,2773027.821,16,SCHOOL
363607,大龍國小,302105.6757,2774027.654,16,SCHOOL
373601,新和國小,300767.4392,2768793.747,14,SCHOOL
373607,華江國小,299575.614,2769637.843,16,SCHOOL
373609,老松國小,300791.1186,2770025.56,14,SCHOOL
373610,龍山國小,300054.8844,2769907.645,16,SCHOOL
383601,景美國小,304550.7619,2764684.694,16,SCHOOL
383607,景興國小,305392.6748,2765442.729,22,SCHOOL
383619,辛亥國小,306479.7164,2766584.196,16,SCHOOL
393605,胡適國小,312362.9975,2770682.713,17,SCHOOL
403604,東湖國小,312197.748,2773596.294,16,SCHOOL
413504,至善國中,306154.5492,2777410.417,16,SCHOOL
413607,富安國小,298633.8781,2777586.406,10,SCHOOL
413619,三玉國小,304173.4291,2778940.966,16,SCHOOL
423601,北投國小,300406.5613,2780685.49,16,SCHOOL
