stationId,stationName,x,y,amsl,type,a,z0
C0AI40,石牌,121.5138167,25.11634167,3,CWB_A,0.072730064,0.490608
C0A9A0,大直,121.5428528,25.07804722,3,CWB_A,0.106486152,4.05432
C0A980,社子,121.4696806,25.10950833,3,CWB_A,0.055871331,0.0705948
C0A9F0,內湖,121.57545,25.07942222,3,CWB_A,0.109937844,4.69511
C0AH70,松山,121.5504278,25.04871111,3,CWB_A,0.113077823,5.3265
C0A9C0,天母,121.5371694,25.11749444,3,CWB_A,0.111755673,5.055
C0AC80,文山,121.5757278,25.00235,3,CWB_A,0.09242225,2.00639
C0AC70,信義,121.5645972,25.03782222,3,CWB_A,0.147718268,15.28
C0A9E0,士林,121.5030194,25.09025278,3,CWB_A,0.100580949,3.08608
466920,臺北,121.514853,25.037658,19,CWB_M,0.05104047,0.0324451
11,士林,121.5147443,25.1059048,22,EPA,0.060451446,0.13226
12,中山,121.5257455,25.0619756,20,EPA,0.086320033,1.3835
13,萬華,121.5089051,25.0467829,20,EPA,0.112920434,5.29375
14,古亭,121.5287775,25.0205827,20,EPA,0.061998787,0.160286
15,松山,121.5776888,25.0500384,20,EPA,0.036563197,0.001
16,大同,121.5133346,25.0642905,6,EPA,0.051879082,0.0375
313602,西松國小,121.56277,25.05333,14,SCHOOL,0.10569851,3.91588
313608,三民國小,121.564419,25.063418,16,SCHOOL,0.108237529,4.3725
323606,吳興國小,121.56808,25.02605,16,SCHOOL,0.088958317,1.63428
323607,福德國小,121.58656,25.03851,16,SCHOOL,0.105001264,3.79573
333606,金華國小,121.52861,25.03222,10,SCHOOL,0.106226478,4.00836
333609,公館國小,121.54296,25.01226,16,SCHOOL,0.09832594,2.75827
333610,新生國小,121.53323,25.03003,16,SCHOOL,0.115590043,5.865
343603,長安國小,121.53086,25.0492,16,SCHOOL,0.102792406,3.42992
343607,五常國小,121.5423,25.0639,20,SCHOOL,0.117590558,6.315
343610,永安國小,121.549504,25.079027,16,SCHOOL,0.08927036,1.66578
353602,河堤國小,121.52235,25.02315,16,SCHOOL,0.097483395,2.64163
353603,忠義國小,121.50593,25.03015,17,SCHOOL,0.096706822,2.53691
353604,國語實小,121.510159,25.030651,16,SCHOOL,0.085637651,1.32308
353607,忠孝國小,121.53178,25.04325,16,SCHOOL,0.06858162,0.331115
353608,市大附小,121.51583,25.03555,16,SCHOOL,0.095101782,2.32887
363502,忠孝國中,121.50805,25.05083,11,SCHOOL,0.045551619,0.0111071
363601,蓬萊國小,121.51583,25.05636,16,SCHOOL,0.094328074,2.23259
363606,大同國小,121.51635,25.06456,16,SCHOOL,0.098328435,2.75862
363607,大龍國小,121.516508,25.073586,16,SCHOOL,0.098339977,2.76024
373601,新和國小,121.50305,25.02638,14,SCHOOL,0.095845828,2.42391
373607,華江國小,121.491271,25.03404,16,SCHOOL,0.108882492,4.49328
373609,老松國小,121.50333,25.0375,14,SCHOOL,0.092857789,2.05672
373610,龍山國小,121.49603,25.03646,16,SCHOOL,0.107869601,4.30447
383601,景美國小,121.540375,24.989152,16,SCHOOL,0.099539,2.93177
383607,景興國小,121.548745,24.995965,22,SCHOOL,0.111605096,5.0246
383619,辛亥國小,121.55956,25.00623,16,SCHOOL,0.099162747,2.87725
393605,胡適國小,121.61803,25.043,17,SCHOOL,0.114470071,5.62127
403604,東湖國小,121.616524,25.06931,16,SCHOOL,0.111212352,4.94581
413504,至善國中,121.55678,25.10398,16,SCHOOL,0.094788234,2.28954
413607,富安國小,121.48222,25.10583,10,SCHOOL,0.064296799,0.209808
413619,三玉國小,121.537198,25.11787,16,SCHOOL,0.113674288,5.45167
423601,北投國小,121.49991,25.13375,16,SCHOOL,0.096709376,2.53725
